0.001	0.001	0	0
0.001	0.001	0	0
1.55941	-0.138498	1.55375	-0.139082
1.80181	0.0199843	2.28405	-0.199993
3.89464	-0.134602	2.27151	-0.175191
4.18538	0.188448	2.41573	-0.171005
6.85875	0.414619	2.44425	0.127529
6.47319	0.476752	2.4358	0.127616
9.07417	0.593148	2.4488	0.113114
8.91598	0.872349	2.52467	0.122803
11.5724	1.66283	2.50671	0.59684
11.4564	1.45164	2.44923	0.583844
13.5974	2.31083	2.39773	0.80425
13.6523	2.04476	2.44451	0.808372
16.6353	2.90149	2.48863	0.786678
16.3106	2.85055	2.6221	0.810409
19.009	3.70511	2.6244	0.832624
19.338	3.84037	2.40409	0.788905
21.3385	4.73249	2.35315	0.904291
21.5961	4.75729	2.63855	0.97056
24.082	5.57107	2.64347	0.886472
24.5373	5.83071	2.92672	0.955986
26.6203	6.96257	2.81511	1.18104
26.5451	6.91788	2.77383	1.16927
29.5816	8.08698	2.80319	1.13147
29.4987	8.16754	2.80008	1.13211
31.9459	9.87794	2.67149	1.54751
31.7683	9.65346	2.47478	1.48062
34.6108	10.7	2.59368	1.15514
35.0441	10.906	2.74748	1.20432
37.1519	12.091	2.6711	1.29664
37.4827	12.2373	2.74967	1.32358
40.3272	13.4668	2.77813	1.25112
39.9841	13.4687	2.70121	1.2266
42.7644	14.8282	2.68841	1.29196
42.6257	14.8593	2.81547	1.33809
45.3571	16.5505	2.74095	1.56027
45.5996	16.5947	2.71479	1.54988
48.1608	17.2897	2.85201	1.08235
48.0163	17.3369	2.58321	0.987359
50.619	19.0673	2.45125	1.41348
50.5215	18.9561	2.53563	1.44495
53.7177	19.8983	2.72513	1.03629
53.5504	19.8451	2.54846	0.971154
56.0321	21.0909	2.48842	1.14013
55.8706	21.0195	2.44175	1.12226
58.6589	21.7827	2.55834	0.854505
58.6383	21.8263	2.66782	0.895681
60.8794	22.7893	2.59487	1.0124
60.7494	22.718	2.49334	0.973959
63.381	23.408	2.56537	0.787916
63.7653	23.5898	2.40679	0.730264
66.3389	23.9971	2.48897	0.516943
